title,price_gbp,url,height_cm,width_cm,description,media
Emplacement 4 by Victoria Ashdown,180.00,https://www.bearspace.co.uk/product-page/emplacement-4-by-victoria-ashdown,43,25,"43x25x7 cm,Porcelain, blue acylic, wood, steel, wire,Original Artwork, ,Using the ceramic process of extruding Ashdown lets gravity determine the shape of the porcelain. Then uses laser cut plastic and wood to fit into the negative spaces created by the porcelain. These processes combine analogy and digital technology., ,Read more about the artist here, ","Porcelain, blue acylic, wood, steel, wire"
SSHHH by Dominic Bradnum,640.00,https://www.bearspace.co.uk/product-page/sshhh-by-dominic-bradnum,40,50,"oil on canvas,40x50cm, ,£64 a month on the ,Own Art Scheme,Email ,info@bearspace.co.uk, to apply online, available accross our range",oil on canvas
The Chaos by Chris Hawtin,940.00,https://www.bearspace.co.uk/product-page/the-chaos-by-chris-hawtin,50,60,"Oil on canvas,50x60cm,Original artwork, ,£94 a month on the ,Own Art Scheme, ,Email ,info@bearspace.co.uk, to apply online, available accross our range, ",Oil on canvas
With Tomorrow by Chris Hawtin,940.00,https://www.bearspace.co.uk/product-page/with-tomorrow-by-chris-hawtin,50,60,"Oil on canvas,50x60cm,Original artwork, ,£94 a month on the ,Own Art Scheme, ,Email ,info@bearspace.co.uk, to apply online, available accross our range, ",Oil on canvas
Unfathomable Deeps by Jane Ward,840.00,https://www.bearspace.co.uk/product-page/unfathomable-deeps-by-jane-ward,70,90,"70x90 cm,Digital print on Canvas with hand dissolved ink,Edition of 5, ,£94 a month on the ,Own Art Scheme,Email ,info@bearspace.co.uk, to apply online, available accross our collection",Digital print on Canvas with hand dissolved ink
Message Of Undying Love by Dominic Bradnum,2400.00,https://www.bearspace.co.uk/product-page/message-of-undying-love-by-dominic-bradnum,110,150,"oil, watercolour, charcoal and ink on canvas,110cm x 150cm, ,£240 a month on the ,Own Art Scheme,Email ,info@bearspace.co.uk, to apply online, available accross our range","oil, watercolour, charcoal and ink on canvas"
The High Way (Peak) by Jane Ward,940.00,https://www.bearspace.co.uk/product-page/the-high-way-peak-by-jane-ward-1,90,70,"90x70cm,Digital print on Canvas with hand dissolved ink,Edition of 10, ,£94 a month on the ,Own Art Scheme,Email ,info@bearspace.co.uk, to apply online, available accross our collection",Digital print on Canvas with hand dissolved ink
"Wherever You Go, I Will Follow by Dominic Bradnum",1400.00,https://www.bearspace.co.uk/product-page/wherever-you-go-i-will-follow-by-dominic-bradnum,70,100,"oil, watercolour, charcoal and ink on canvas,70cm x 100cm, ,£140 a month on the ,Own Art Scheme,Email ,info@bearspace.co.uk, to apply online, available accross our range","oil, watercolour, charcoal and ink on canvas"
"Of Earth, Air and Water by Jane Ward",840.00,https://www.bearspace.co.uk/product-page/of-earth-air-and-water-by-jane-ward,70,90,"70x90 cm,Digital print on Canvas with hand dissolved ink,Edition of 5, ,£84 a month on the ,Own Art Scheme,Email ,info@bearspace.co.uk, to apply online, available accross our collection",Digital print on Canvas with hand dissolved ink
In These Solitudes by Jane Ward,840.00,https://www.bearspace.co.uk/product-page/in-these-solitudes-by-jane-ward,70,90,"70x90 cm,Digital print on Canvas with hand dissolved ink,Edition of 5, ,£84 a month on the ,Own Art Scheme,Email ,info@bearspace.co.uk, to apply online, available accross our collection",Digital print on Canvas with hand dissolved ink
From Frozen Floods by Jane Ward,840.00,https://www.bearspace.co.uk/product-page/from-frozen-floods-by-jane-ward,70,90,"70x90 cm,Digital print on Canvas with hand dissolved ink,Edition of 5, ,£84 a month on the ,Own Art Scheme,Email ,info@bearspace.co.uk, to apply online, available accross our collection",Digital print on Canvas with hand dissolved ink
Broad Vales Between by Jane Ward,840.00,https://www.bearspace.co.uk/product-page/broad-vales-between-by-jane-ward,70,90,"70x90 cm,Digital print on Canvas with hand dissolved ink,Edition of 5, ,£84 a month on the ,Own Art Scheme,Email ,info@bearspace.co.uk, to apply online, available accross our collection",Digital print on Canvas with hand dissolved ink
Meld 2 by Vic Wright,320.00,https://www.bearspace.co.uk/product-page/meld-2-by-vic-wright,15,12,"24k goldleaf, white and black cement with iron,15 x 12 cm, ,Cast in fine casting cements. The piece was then ground with faceted sides, gilded with 24k goldleaf and polished to finish. With the nature of the casting process each piece is different to the next, making each work a one off., ,Photo credit: Laura Hutchinson","24k goldleaf, white and black cement with iron"
"Standing White , black & gold by Vic Wright",280.00,https://www.bearspace.co.uk/product-page/standing-white-black-gold-by-vic-wright,12,6,"Lichen gilded with 24k gold leaf, moss with ground copper, and white casting cement,12 x 6 cm, ,Cast in white fine casting cement. The piece is then ground with faceted sides and assembled with different elements. With the nature of the casting process each piece is differnt to the next, making each work a one off., ,Photo credit: Laura Hutchinson, ,Photo credit: Laura Hutchinson","Lichen gilded with 24k gold leaf, moss with ground copper, and white casting cement"
Meld 1 by Vic Wright,440.00,https://www.bearspace.co.uk/product-page/meld-1-by-vic-wright,17,14,"24k gold leaf, white casting cement and ground iron,17 x 14 cm, ,Cast in fine white casting cement. The piece was then gilded with 24k gold leaf, assembled and polished to finish. With the nature of the casting process each piece is different to the next, making each work a one off., ,Photo credit: Laura Hutchinson","24k gold leaf, white casting cement and ground iron"
Conversation by Vic Wright,440.00,https://www.bearspace.co.uk/product-page/conversation-by-vic-wright,16.5,13,"18K gold leaf and white casting cement,16.5 x 13 cm, ,Cast in fine whie casting cement. The piece was then gilded with 18k gold leaf and polished to finish. With the nature of the casting process each piece is different to the next, making each work a one off., ,Photo credit: Laura Hutchinson",18K gold leaf and white casting cement
Ore by Vic Wright,140.00,https://www.bearspace.co.uk/product-page/ore-by-vic-wright,18,,"18k goldleaf, grey casting cement and white wax.,8.5 x 8 cm, ,Cast in a fine grey casting cement. The piece was then ground with faceted sides, gilded and finished with a white wax. With the nature of the casting process each piece is different to the next, making each work a one off., ,Photo credit: Laura Hutchinson",8.5 x 8 cm
The Ephemeral Isles 1 by Jane Ward,1800.00,https://www.bearspace.co.uk/product-page/the-ephemeral-isles-1-by-jane-ward,90,120,"Digital print on Aluminium,90x120 cm,Edition of 5 - please note colours are more muted when printed on aluminium, ",Digital print on Aluminium
Those Hidden Ravines by Jane Ward,640.00,https://www.bearspace.co.uk/product-page/those-hidden-ravines-by-jane-ward,45,60,"Digital print on Aluminium,45x60,Edition of 5 - please note colours are more muted when printed on aluminium, this surface reflects the light and so adds another layer to the way you view the piece, coming 'alive' in certain lightings., ",Digital print on Aluminium
Fragstudy 7 by Jim Cheatle,490.00,https://www.bearspace.co.uk/product-page/fragstudy-5-by-jim-cheatle,30.5,23,"Resin, pigments, inkjet prints, MDF,30.5 x 23 cm","Resin, pigments, inkjet prints, MDF"
Fragstudy 3 by Jim Cheatle,490.00,https://www.bearspace.co.uk/product-page/fragstudy-3-by-jim-cheatle,30.5,23,"Resin, pigments, inkjet prints, MDF,30.5 x 23 cm","Resin, pigments, inkjet prints, MDF"
Fragstudy 4 by Jim Cheatle,490.00,https://www.bearspace.co.uk/product-page/fragstudy-4-by-jim-cheatle,30.5,23,"Resin, pigments, inkjet prints, MDF,30.5 x 23 cm","Resin, pigments, inkjet prints, MDF"
Portal 5 by Jane Ward,320.00,https://www.bearspace.co.uk/product-page/portal-5-by-jane-ward,30,,"Digital print under acrylic with subframe,30cm  diam ,Edition of 10 , ",Digital print under acrylic with subframe
Portal 6 by Jane Ward,320.00,https://www.bearspace.co.uk/product-page/portal-6-by-jane-ward,30,,"Digital print under acrylic with subframe,30cm  diam ,Edition of 10 , ",Digital print under acrylic with subframe
The Ephemeral Isles by Jane Ward,1400.00,https://www.bearspace.co.uk/product-page/the-ephemeral-isles-by-jane-ward,90,120,"Archival digital print on canvas with dissolved canvas,90x120 cm,2018,Edition of 5, , ",Archival digital print on canvas with dissolved canvas
Morning Came by Dominic Bradnum,640.00,https://www.bearspace.co.uk/product-page/morning-came-by-dominic-bradnum,40,50,"oil with charcoal, watercolour and pencil on canvas,40cm x 50cm, ,Photo credit: Steve Speller","oil with charcoal, watercolour and pencil on canvas"
Another Sunset by Lucy Baker,340.00,https://www.bearspace.co.uk/product-page/another-sunset-by-lucy-baker,42,34,"Oil paint, spray paint & gold leaf on board,42x34cm,2019","Oil paint, spray paint & gold leaf on board"
Kin by Vic Wright,440.00,https://www.bearspace.co.uk/product-page/kin-by-vic-wright,16,14,"16cm x 14cm,24k gold leaf, crystal, iron and white and grey casting cement., ,£44 a month on the Own Art Scheme, 0% interest loan over 10 month, please ,email, for details, ,Cast in fine white and grey cement this piece has had ink applied to create texture to the surface. A piece of crystal enclusted black cement is adhered to the work. The finely extruded white cement contains iron which gives the rich patina of blue green and rust. The piece is finished with 24k goldleaf inlays., ,Photo credit: Laura Hutchinson","24k gold leaf, crystal, iron and white and grey casting cement."
P8 by Olly Fathers,240.00,https://www.bearspace.co.uk/product-page/p8-by-olly-fathers,30,30,"Acrylic paint on sprayed board,30x30cm,2019,£24 a month on the Own Art Scheme, do ,email us, to apply",Acrylic paint on sprayed board
Hurricane by Lucy Baker,0.00,https://www.bearspace.co.uk/product-page/hurricane-by-lucy-baker,30,40,"Oil paint & spray paint on board,30 X40 cm, ",Oil paint & spray paint on board
